log10_mbh_msun,mbh_msun,linear_mpc3,linear_low_mpc3,linear_high_mpc3,nsc_mpc3,nsc_low_mpc3,nsc_high_mpc3,source_kind,source_note
4,1.0000000000e+04,7.9432823472e-04,5.6234132519e-04,1.0471285481e-03,2.3442288153e-03,1.6218100974e-03,3.1622776602e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
4.25,1.7782794100e+04,8.7096358996e-04,6.1659500186e-04,1.1481536215e-03,2.0892961309e-03,1.4125375446e-03,2.7542287033e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
4.5,3.1622776602e+04,9.1201083936e-04,6.4565422903e-04,1.2022644346e-03,1.8620871367e-03,1.3182567386e-03,2.4547089157e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
4.75,5.6234132519e+04,9.5499258602e-04,6.9183097092e-04,1.2302687708e-03,1.6595869074e-03,1.2022644346e-03,2.1877616239e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
5,1.0000000000e+05,9.7723722096e-04,7.0794578438e-04,1.2882495517e-03,1.4791083882e-03,1.0964781961e-03,1.9498445998e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
5.25,1.7782794100e+05,9.7723722096e-04,7.2443596007e-04,1.2589254118e-03,1.3489628826e-03,1.0000000000e-03,1.7378008287e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
5.5,3.1622776602e+05,9.7723722096e-04,7.4131024130e-04,1.2302687708e-03,1.2589254118e-03,9.5499258602e-04,1.5848931925e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
5.75,5.6234132519e+05,9.7723722096e-04,7.5857757503e-04,1.2022644346e-03,1.1481536215e-03,9.1201083936e-04,1.4454397707e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
6,1.0000000000e+06,9.5499258602e-04,7.9432823472e-04,1.1748975549e-03,1.0964781961e-03,9.1201083936e-04,1.3182567386e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
6.25,1.7782794100e+06,9.7723722096e-04,8.3176377110e-04,1.1220184543e-03,1.0715193052e-03,9.3325430080e-04,1.2589254118e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
6.5,3.1622776602e+06,9.7723722096e-04,8.9125093813e-04,1.0964781961e-03,1.0471285481e-03,9.5499258602e-04,1.1748975549e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
6.75,5.6234132519e+06,9.7723722096e-04,9.1201083936e-04,1.0471285481e-03,1.0471285481e-03,9.7723722096e-04,1.1481536215e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
7,1.0000000000e+07,9.7723722096e-04,9.1201083936e-04,1.0471285481e-03,1.0232929923e-03,9.5499258602e-04,1.0964781961e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
7.25,1.7782794100e+07,9.5499258602e-04,8.9125093813e-04,1.0232929923e-03,1.0000000000e-03,9.1201083936e-04,1.0715193052e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
7.5,3.1622776602e+07,9.1201083936e-04,8.3176377110e-04,9.7723722096e-04,9.3325430080e-04,8.5113803820e-04,1.0232929923e-03,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
7.75,5.6234132519e+07,8.1283051616e-04,7.4131024130e-04,8.9125093813e-04,8.3176377110e-04,7.5857757503e-04,9.1201083936e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
8,1.0000000000e+08,7.0794578438e-04,6.4565422903e-04,7.7624711663e-04,7.2443596007e-04,6.4565422903e-04,7.9432823472e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
8.25,1.7782794100e+08,5.8884365536e-04,5.2480746025e-04,6.4565422903e-04,5.8884365536e-04,5.2480746025e-04,6.6069344801e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
8.5,3.1622776602e+08,4.5708818961e-04,4.0738027780e-04,5.1286138399e-04,4.5708818961e-04,4.0738027780e-04,5.1286138399e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
8.75,5.6234132519e+08,3.3884415614e-04,3.0199517204e-04,3.8018939632e-04,3.3884415614e-04,2.9512092267e-04,3.8018939632e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
9,1.0000000000e+09,2.3442288153e-04,2.0417379447e-04,2.6302679919e-04,2.2908676528e-04,2.0417379447e-04,2.6302679919e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
9.25,1.7782794100e+09,1.5135612484e-04,1.3182567386e-04,1.6982436525e-04,1.4791083882e-04,1.2882495517e-04,1.6982436525e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
9.5,3.1622776602e+09,9.1201083936e-05,7.9432823472e-05,1.0232929923e-04,9.1201083936e-05,7.7624711663e-05,1.0232929923e-04,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
9.75,5.6234132519e+09,5.1286138399e-05,4.4668359215e-05,5.8884365536e-05,5.1286138399e-05,4.2657951880e-05,5.8884365536e-05,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
10,1.0000000000e+10,2.6915348039e-05,2.2387211386e-05,3.1622776602e-05,2.6302679919e-05,2.1877616239e-05,3.1622776602e-05,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
10.25,1.7782794100e+10,1.3182567386e-05,1.0715193052e-05,1.5848931925e-05,1.2882495517e-05,1.0232929923e-05,1.5488166189e-05,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
10.5,3.1622776602e+10,5.8884365536e-06,4.6773514129e-06,7.4131024130e-06,5.8884365536e-06,4.4668359215e-06,7.5857757503e-06,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
10.75,5.6234132519e+10,2.3988329190e-06,1.6595869074e-06,3.3113112148e-06,2.3988329190e-06,1.6595869074e-06,3.3113112148e-06,zenodo_observation_data,Kritos+2025 Zenodo 10.5281/zenodo.15776363 OBSERVATION_DATA/Black_Hole_Mass_Functions.txt; columns exponentiated from log10 values loaded in Results2.ipynb.
